id,category,role,audience,format,lens,context,prompt
20,写作,内容策略师,本地用户,PRD片段,学习曲线,远程协作,任务编号 P0020。请扮演内容策略师。围绕“写作场景020-远程协作”中的文章、脚本、邮件、文案任务，面向本地用户，生成会议讨论提纲。请用PRD片段输出，并从“学习曲线”角度做重点判断。要求：给出示例输入输出；包含衡量标准；最后给出3条可立即执行的下一步。
21,写作,内容策略师,创始人,表格,效率,个人项目,任务编号 P0021。请扮演内容策略师。围绕“写作场景021-个人项目”中的文章、脚本、邮件、文案任务，面向创始人，写一份面向管理层的简报。请用表格输出，并从“效率”角度做重点判断。要求：语言简洁，不说空话；标注假设和不确定性；最后给出3条可立即执行的下一步。
22,写作,内容策略师,新手用户,邮件草稿,风险,质量波动,任务编号 P0022。请扮演内容策略师。围绕“写作场景022-质量波动”中的文章、脚本、邮件、文案任务，面向新手用户，写一份面向执行者的操作手册。请用邮件草稿输出，并从“风险”角度做重点判断。要求：兼顾成本和效果；指出最容易忽略的细节；最后给出3条可立即执行的下一步。
23,写作,内容策略师,一线执行团队,路线图,增长,用户流失,任务编号 P0023。请扮演内容策略师。围绕“写作场景023-用户流失”中的文章、脚本、邮件、文案任务，面向一线执行团队，建立评估打分表。请用路线图输出，并从“增长”角度做重点判断。要求：指出最容易忽略的细节；避免专业黑话；最后给出3条可立即执行的下一步。
24,写作,内容策略师,开发团队,PRD片段,短期落地,内部培训,任务编号 P0024。请扮演内容策略师。围绕“写作场景024-内部培训”中的文章、脚本、邮件、文案任务，面向开发团队，提出自动化改造思路。请用PRD片段输出，并从“短期落地”角度做重点判断。要求：包含可执行下一步；用中文输出；最后给出3条可立即执行的下一步。
25,写作,内容策略师,客服团队,表格,成本,需要复盘,任务编号 P0025。请扮演内容策略师。围绕“写作场景025-需要复盘”中的文章、脚本、邮件、文案任务，面向客服团队，设计用户调研问题。请用表格输出，并从“成本”角度做重点判断。要求：输出可直接复制使用；兼顾成本和效果；最后给出3条可立即执行的下一步。
26,写作,内容策略师,家长,邮件草稿,可维护性,时间紧迫,任务编号 P0026。请扮演内容策略师。围绕“写作场景026-时间紧迫”中的文章、脚本、邮件、文案任务，面向家长，模拟用户反馈并归纳模式。请用邮件草稿输出，并从“可维护性”角度做重点判断。要求：保持中立客观；避免虚构事实；最后给出3条可立即执行的下一步。
27,写作,内容策略师,非技术读者,路线图,长期价值,成熟企业,任务编号 P0027。请扮演内容策略师。围绕“写作场景027-成熟企业”中的文章、脚本、邮件、文案任务，面向非技术读者，生成故障排查路径。请用路线图输出，并从“长期价值”角度做重点判断。要求：先给结论再解释；包含失败预案；最后给出3条可立即执行的下一步。
28,写作,内容策略师,中小企业主,PRD片段,质量,需要降本,任务编号 P0028。请扮演内容策略师。围绕“写作场景028-需要降本”中的文章、脚本、邮件、文案任务，面向中小企业主，把目标拆成里程碑。请用PRD片段输出，并从“质量”角度做重点判断。要求：包含失败预案；语言简洁，不说空话；最后给出3条可立即执行的下一步。
29,写作,内容策略师,资深从业者,表格,用户体验,流程混乱,任务编号 P0029。请扮演内容策略师。围绕“写作场景029-流程混乱”中的文章、脚本、邮件、文案任务，面向资深从业者，提出可复用命名规范。请用表格输出，并从“用户体验”角度做重点判断。要求：用中文输出；按难易度排序；最后给出3条可立即执行的下一步。
30,写作,内容策略师,自由职业者,邮件草稿,学习曲线,数据不足,任务编号 P0030。请扮演内容策略师。围绕“写作场景030-数据不足”中的文章、脚本、邮件、文案任务，面向自由职业者，创建风险登记册。请用邮件草稿输出，并从“学习曲线”角度做重点判断。要求：标注假设和不确定性；先给结论再解释；最后给出3条可立即执行的下一步。
31,写作,内容策略师,设计团队,路线图,效率,公开发布,任务编号 P0031。请扮演内容策略师。围绕“写作场景031-公开发布”中的文章、脚本、邮件、文案任务，面向设计团队，制定一份可执行方案。请用路线图输出，并从“效率”角度做重点判断。要求：按影响力排序；给出示例输入输出；最后给出3条可立即执行的下一步。
32,写作,内容策略师,投资人,PRD片段,风险,多方协作,任务编号 P0032。请扮演内容策略师。围绕“写作场景032-多方协作”中的文章、脚本、邮件、文案任务，面向投资人，列出关键问题并给出优先级。请用PRD片段输出，并从“风险”角度做重点判断。要求：必要时提出澄清问题；给出至少一个反例；最后给出3条可立即执行的下一步。
33,写作,内容策略师,海外用户,表格,增长,预算有限,任务编号 P0033。请扮演内容策略师。围绕“写作场景033-预算有限”中的文章、脚本、邮件、文案任务，面向海外用户，生成三种风格完全不同的版本。请用表格输出，并从“增长”角度做重点判断。要求：给出至少一个反例；保持中立客观；最后给出3条可立即执行的下一步。
34,写作,内容策略师,专家评审,邮件草稿,短期落地,初创团队,任务编号 P0034。请扮演内容策略师。围绕“写作场景034-初创团队”中的文章、脚本、邮件、文案任务，面向专家评审，把复杂内容改写成新手也能懂的说明。请用邮件草稿输出，并从“短期落地”角度做重点判断。要求：按难易度排序；适合在一天内开始执行；最后给出3条可立即执行的下一步。
35,写作,内容策略师,大学生,路线图,成本,需要扩张,任务编号 P0035。请扮演内容策略师。围绕“写作场景035-需要扩张”中的文章、脚本、邮件、文案任务，面向大学生，设计一个从零到一的工作流。请用路线图输出，并从“成本”角度做重点判断。要求：避免虚构事实；必要时提出澄清问题；最后给出3条可立即执行的下一步。
36,写作,内容策略师,管理层,PRD片段,可维护性,新市场验证,任务编号 P0036。请扮演内容策略师。围绕“写作场景036-新市场验证”中的文章、脚本、邮件、文案任务，面向管理层，创建检查清单并标注常见坑。请用PRD片段输出，并从“可维护性”角度做重点判断。要求：避免专业黑话；输出可直接复制使用；最后给出3条可立即执行的下一步。
37,写作,内容策略师,内容创作者,表格,长期价值,竞品压力,任务编号 P0037。请扮演内容策略师。围绕“写作场景037-竞品压力”中的文章、脚本、邮件、文案任务，面向内容创作者，模拟专家评审并指出改进点。请用表格输出，并从“长期价值”角度做重点判断。要求：包含衡量标准；提供简短版本和完整版本；最后给出3条可立即执行的下一步。
38,写作,内容策略师,销售团队,邮件草稿,质量,准备上线,任务编号 P0038。请扮演内容策略师。围绕“写作场景038-准备上线”中的文章、脚本、邮件、文案任务，面向销售团队，根据目标用户重写表达。请用邮件草稿输出，并从“质量”角度做重点判断。要求：提供简短版本和完整版本；按影响力排序；最后给出3条可立即执行的下一步。
39,写作,内容策略师,教师,路线图,用户体验,高不确定性,任务编号 P0039。请扮演内容策略师。围绕“写作场景039-高不确定性”中的文章、脚本、邮件、文案任务，面向教师，提炼核心洞察并给出行动建议。请用路线图输出，并从“用户体验”角度做重点判断。要求：适合在一天内开始执行；包含可执行下一步；最后给出3条可立即执行的下一步。
40,写作,内容策略师,本地用户,PRD片段,学习曲线,远程协作,任务编号 P0040。请扮演内容策略师。围绕“写作场景040-远程协作”中的文章、脚本、邮件、文案任务，面向本地用户，设计一套可量化指标。请用PRD片段输出，并从“学习曲线”角度做重点判断。要求：给出示例输入输出；包含衡量标准；最后给出3条可立即执行的下一步。
41,写作,内容策略师,创始人,表格,效率,个人项目,任务编号 P0041。请扮演内容策略师。围绕“写作场景041-个人项目”中的文章、脚本、邮件、文案任务，面向创始人，把零散想法整理成结构化大纲。请用表格输出，并从“效率”角度做重点判断。要求：语言简洁，不说空话；标注假设和不确定性；最后给出3条可立即执行的下一步。
42,写作,内容策略师,新手用户,邮件草稿,风险,质量波动,任务编号 P0042。请扮演内容策略师。围绕“写作场景042-质量波动”中的文章、脚本、邮件、文案任务，面向新手用户，生成可直接使用的模板。请用邮件草稿输出，并从“风险”角度做重点判断。要求：兼顾成本和效果；指出最容易忽略的细节；最后给出3条可立即执行的下一步。
43,写作,内容策略师,一线执行团队,路线图,增长,用户流失,任务编号 P0043。请扮演内容策略师。围绕“写作场景043-用户流失”中的文章、脚本、邮件、文案任务，面向一线执行团队，做一次反向推理找出隐藏风险。请用路线图输出，并从“增长”角度做重点判断。要求：指出最容易忽略的细节；避免专业黑话；最后给出3条可立即执行的下一步。
44,写作,内容策略师,开发团队,PRD片段,短期落地,内部培训,任务编号 P0044。请扮演内容策略师。围绕“写作场景044-内部培训”中的文章、脚本、邮件、文案任务，面向开发团队，给出低成本试验方案。请用PRD片段输出，并从“短期落地”角度做重点判断。要求：包含可执行下一步；用中文输出；最后给出3条可立即执行的下一步。
45,写作,内容策略师,客服团队,表格,成本,需要复盘,任务编号 P0045。请扮演内容策略师。围绕“写作场景045-需要复盘”中的文章、脚本、邮件、文案任务，面向客服团队，创建对比表并推荐选择。请用表格输出，并从“成本”角度做重点判断。要求：输出可直接复制使用；兼顾成本和效果；最后给出3条可立即执行的下一步。
46,写作,内容策略师,家长,邮件草稿,可维护性,时间紧迫,任务编号 P0046。请扮演内容策略师。围绕“写作场景046-时间紧迫”中的文章、脚本、邮件、文案任务，面向家长，把长内容压缩成高密度摘要。请用邮件草稿输出，并从“可维护性”角度做重点判断。要求：保持中立客观；避免虚构事实；最后给出3条可立即执行的下一步。
47,写作,内容策略师,非技术读者,路线图,长期价值,成熟企业,任务编号 P0047。请扮演内容策略师。围绕“写作场景047-成熟企业”中的文章、脚本、邮件、文案任务，面向非技术读者，提出10个创新方向并排序。请用路线图输出，并从“长期价值”角度做重点判断。要求：先给结论再解释；包含失败预案；最后给出3条可立即执行的下一步。
48,写作,内容策略师,中小企业主,PRD片段,质量,需要降本,任务编号 P0048。请扮演内容策略师。围绕“写作场景048-需要降本”中的文章、脚本、邮件、文案任务，面向中小企业主，设计30天训练计划。请用PRD片段输出，并从“质量”角度做重点判断。要求：包含失败预案；语言简洁，不说空话；最后给出3条可立即执行的下一步。
49,写作,内容策略师,资深从业者,表格,用户体验,流程混乱,任务编号 P0049。请扮演内容策略师。围绕“写作场景049-流程混乱”中的文章、脚本、邮件、文案任务，面向资深从业者，构建决策树帮助判断下一步。请用表格输出，并从“用户体验”角度做重点判断。要求：用中文输出；按难易度排序；最后给出3条可立即执行的下一步。
50,写作,内容策略师,自由职业者,邮件草稿,学习曲线,数据不足,任务编号 P0050。请扮演内容策略师。围绕“写作场景050-数据不足”中的文章、脚本、邮件、文案任务，面向自由职业者，生成会议讨论提纲。请用邮件草稿输出，并从“学习曲线”角度做重点判断。要求：标注假设和不确定性；先给结论再解释；最后给出3条可立即执行的下一步。
51,写作,内容策略师,设计团队,路线图,效率,公开发布,任务编号 P0051。请扮演内容策略师。围绕“写作场景051-公开发布”中的文章、脚本、邮件、文案任务，面向设计团队，写一份面向管理层的简报。请用路线图输出，并从“效率”角度做重点判断。要求：按影响力排序；给出示例输入输出；最后给出3条可立即执行的下一步。
52,写作,内容策略师,投资人,PRD片段,风险,多方协作,任务编号 P0052。请扮演内容策略师。围绕“写作场景052-多方协作”中的文章、脚本、邮件、文案任务，面向投资人，写一份面向执行者的操作手册。请用PRD片段输出，并从“风险”角度做重点判断。要求：必要时提出澄清问题；给出至少一个反例；最后给出3条可立即执行的下一步。
53,写作,内容策略师,海外用户,表格,增长,预算有限,任务编号 P0053。请扮演内容策略师。围绕“写作场景053-预算有限”中的文章、脚本、邮件、文案任务，面向海外用户，建立评估打分表。请用表格输出，并从“增长”角度做重点判断。要求：给出至少一个反例；保持中立客观；最后给出3条可立即执行的下一步。
54,写作,内容策略师,专家评审,邮件草稿,短期落地,初创团队,任务编号 P0054。请扮演内容策略师。围绕“写作场景054-初创团队”中的文章、脚本、邮件、文案任务，面向专家评审，提出自动化改造思路。请用邮件草稿输出，并从“短期落地”角度做重点判断。要求：按难易度排序；适合在一天内开始执行；最后给出3条可立即执行的下一步。
55,写作,内容策略师,大学生,路线图,成本,需要扩张,任务编号 P0055。请扮演内容策略师。围绕“写作场景055-需要扩张”中的文章、脚本、邮件、文案任务，面向大学生，设计用户调研问题。请用路线图输出，并从“成本”角度做重点判断。要求：避免虚构事实；必要时提出澄清问题；最后给出3条可立即执行的下一步。
56,写作,内容策略师,管理层,PRD片段,可维护性,新市场验证,任务编号 P0056。请扮演内容策略师。围绕“写作场景056-新市场验证”中的文章、脚本、邮件、文案任务，面向管理层，模拟用户反馈并归纳模式。请用PRD片段输出，并从“可维护性”角度做重点判断。要求：避免专业黑话；输出可直接复制使用；最后给出3条可立即执行的下一步。
57,写作,内容策略师,内容创作者,表格,长期价值,竞品压力,任务编号 P0057。请扮演内容策略师。围绕“写作场景057-竞品压力”中的文章、脚本、邮件、文案任务，面向内容创作者，生成故障排查路径。请用表格输出，并从“长期价值”角度做重点判断。要求：包含衡量标准；提供简短版本和完整版本；最后给出3条可立即执行的下一步。
58,写作,内容策略师,销售团队,邮件草稿,质量,准备上线,任务编号 P0058。请扮演内容策略师。围绕“写作场景058-准备上线”中的文章、脚本、邮件、文案任务，面向销售团队，把目标拆成里程碑。请用邮件草稿输出，并从“质量”角度做重点判断。要求：提供简短版本和完整版本；按影响力排序；最后给出3条可立即执行的下一步。
59,写作,内容策略师,教师,路线图,用户体验,高不确定性,任务编号 P0059。请扮演内容策略师。围绕“写作场景059-高不确定性”中的文章、脚本、邮件、文案任务，面向教师，提出可复用命名规范。请用路线图输出，并从“用户体验”角度做重点判断。要求：适合在一天内开始执行；包含可执行下一步；最后给出3条可立即执行的下一步。
60,写作,内容策略师,本地用户,PRD片段,学习曲线,远程协作,任务编号 P0060。请扮演内容策略师。围绕“写作场景060-远程协作”中的文章、脚本、邮件、文案任务，面向本地用户，创建风险登记册。请用PRD片段输出，并从“学习曲线”角度做重点判断。要求：给出示例输入输出；包含衡量标准；最后给出3条可立即执行的下一步。
61,写作,内容策略师,创始人,表格,效率,个人项目,任务编号 P0061。请扮演内容策略师。围绕“写作场景061-个人项目”中的文章、脚本、邮件、文案任务，面向创始人，制定一份可执行方案。请用表格输出，并从“效率”角度做重点判断。要求：语言简洁，不说空话；标注假设和不确定性；最后给出3条可立即执行的下一步。
62,写作,内容策略师,新手用户,邮件草稿,风险,质量波动,任务编号 P0062。请扮演内容策略师。围绕“写作场景062-质量波动”中的文章、脚本、邮件、文案任务，面向新手用户，列出关键问题并给出优先级。请用邮件草稿输出，并从“风险”角度做重点判断。要求：兼顾成本和效果；指出最容易忽略的细节；最后给出3条可立即执行的下一步。
63,写作,内容策略师,一线执行团队,路线图,增长,用户流失,任务编号 P0063。请扮演内容策略师。围绕“写作场景063-用户流失”中的文章、脚本、邮件、文案任务，面向一线执行团队，生成三种风格完全不同的版本。请用路线图输出，并从“增长”角度做重点判断。要求：指出最容易忽略的细节；避免专业黑话；最后给出3条可立即执行的下一步。
64,写作,内容策略师,开发团队,PRD片段,短期落地,内部培训,任务编号 P0064。请扮演内容策略师。围绕“写作场景064-内部培训”中的文章、脚本、邮件、文案任务，面向开发团队，把复杂内容改写成新手也能懂的说明。请用PRD片段输出，并从“短期落地”角度做重点判断。要求：包含可执行下一步；用中文输出；最后给出3条可立即执行的下一步。
65,写作,内容策略师,客服团队,表格,成本,需要复盘,任务编号 P0065。请扮演内容策略师。围绕“写作场景065-需要复盘”中的文章、脚本、邮件、文案任务，面向客服团队，设计一个从零到一的工作流。请用表格输出，并从“成本”角度做重点判断。要求：输出可直接复制使用；兼顾成本和效果；最后给出3条可立即执行的下一步。
66,写作,内容策略师,家长,邮件草稿,可维护性,时间紧迫,任务编号 P0066。请扮演内容策略师。围绕“写作场景066-时间紧迫”中的文章、脚本、邮件、文案任务，面向家长，创建检查清单并标注常见坑。请用邮件草稿输出，并从“可维护性”角度做重点判断。要求：保持中立客观；避免虚构事实；最后给出3条可立即执行的下一步。
67,写作,内容策略师,非技术读者,路线图,长期价值,成熟企业,任务编号 P0067。请扮演内容策略师。围绕“写作场景067-成熟企业”中的文章、脚本、邮件、文案任务，面向非技术读者，模拟专家评审并指出改进点。请用路线图输出，并从“长期价值”角度做重点判断。要求：先给结论再解释；包含失败预案；最后给出3条可立即执行的下一步。
68,写作,内容策略师,中小企业主,PRD片段,质量,需要降本,任务编号 P0068。请扮演内容策略师。围绕“写作场景068-需要降本”中的文章、脚本、邮件、文案任务，面向中小企业主，根据目标用户重写表达。请用PRD片段输出，并从“质量”角度做重点判断。要求：包含失败预案；语言简洁，不说空话；最后给出3条可立即执行的下一步。
69,写作,内容策略师,资深从业者,表格,用户体验,流程混乱,任务编号 P0069。请扮演内容策略师。围绕“写作场景069-流程混乱”中的文章、脚本、邮件、文案任务，面向资深从业者，提炼核心洞察并给出行动建议。请用表格输出，并从“用户体验”角度做重点判断。要求：用中文输出；按难易度排序；最后给出3条可立即执行的下一步。
70,写作,内容策略师,自由职业者,邮件草稿,学习曲线,数据不足,任务编号 P0070。请扮演内容策略师。围绕“写作场景070-数据不足”中的文章、脚本、邮件、文案任务，面向自由职业者，设计一套可量化指标。请用邮件草稿输出，并从“学习曲线”角度做重点判断。要求：标注假设和不确定性；先给结论再解释；最后给出3条可立即执行的下一步。
71,写作,内容策略师,设计团队,路线图,效率,公开发布,任务编号 P0071。请扮演内容策略师。围绕“写作场景071-公开发布”中的文章、脚本、邮件、文案任务，面向设计团队，把零散想法整理成结构化大纲。请用路线图输出，并从“效率”角度做重点判断。要求：按影响力排序；给出示例输入输出；最后给出3条可立即执行的下一步。
72,写作,内容策略师,投资人,PRD片段,风险,多方协作,任务编号 P0072。请扮演内容策略师。围绕“写作场景072-多方协作”中的文章、脚本、邮件、文案任务，面向投资人，生成可直接使用的模板。请用PRD片段输出，并从“风险”角度做重点判断。要求：必要时提出澄清问题；给出至少一个反例；最后给出3条可立即执行的下一步。
73,写作,内容策略师,海外用户,表格,增长,预算有限,任务编号 P0073。请扮演内容策略师。围绕“写作场景073-预算有限”中的文章、脚本、邮件、文案任务，面向海外用户，做一次反向推理找出隐藏风险。请用表格输出，并从“增长”角度做重点判断。要求：给出至少一个反例；保持中立客观；最后给出3条可立即执行的下一步。
74,写作,内容策略师,专家评审,邮件草稿,短期落地,初创团队,任务编号 P0074。请扮演内容策略师。围绕“写作场景074-初创团队”中的文章、脚本、邮件、文案任务，面向专家评审，给出低成本试验方案。请用邮件草稿输出，并从“短期落地”角度做重点判断。要求：按难易度排序；适合在一天内开始执行；最后给出3条可立即执行的下一步。
75,写作,内容策略师,大学生,路线图,成本,需要扩张,任务编号 P0075。请扮演内容策略师。围绕“写作场景075-需要扩张”中的文章、脚本、邮件、文案任务，面向大学生，创建对比表并推荐选择。请用路线图输出，并从“成本”角度做重点判断。要求：避免虚构事实；必要时提出澄清问题；最后给出3条可立即执行的下一步。
76,写作,内容策略师,管理层,PRD片段,可维护性,新市场验证,任务编号 P0076。请扮演内容策略师。围绕“写作场景076-新市场验证”中的文章、脚本、邮件、文案任务，面向管理层，把长内容压缩成高密度摘要。请用PRD片段输出，并从“可维护性”角度做重点判断。要求：避免专业黑话；输出可直接复制使用；最后给出3条可立即执行的下一步。
77,写作,内容策略师,内容创作者,表格,长期价值,竞品压力,任务编号 P0077。请扮演内容策略师。围绕“写作场景077-竞品压力”中的文章、脚本、邮件、文案任务，面向内容创作者，提出10个创新方向并排序。请用表格输出，并从“长期价值”角度做重点判断。要求：包含衡量标准；提供简短版本和完整版本；最后给出3条可立即执行的下一步。
78,写作,内容策略师,销售团队,邮件草稿,质量,准备上线,任务编号 P0078。请扮演内容策略师。围绕“写作场景078-准备上线”中的文章、脚本、邮件、文案任务，面向销售团队，设计30天训练计划。请用邮件草稿输出，并从“质量”角度做重点判断。要求：提供简短版本和完整版本；按影响力排序；最后给出3条可立即执行的下一步。
79,写作,内容策略师,教师,路线图,用户体验,高不确定性,任务编号 P0079。请扮演内容策略师。围绕“写作场景079-高不确定性”中的文章、脚本、邮件、文案任务，面向教师，构建决策树帮助判断下一步。请用路线图输出，并从“用户体验”角度做重点判断。要求：适合在一天内开始执行；包含可执行下一步；最后给出3条可立即执行的下一步。
80,写作,内容策略师,本地用户,PRD片段,学习曲线,远程协作,任务编号 P0080。请扮演内容策略师。围绕“写作场景080-远程协作”中的文章、脚本、邮件、文案任务，面向本地用户，生成会议讨论提纲。请用PRD片段输出，并从“学习曲线”角度做重点判断。要求：给出示例输入输出；包含衡量标准；最后给出3条可立即执行的下一步。
81,写作,内容策略师,创始人,表格,效率,个人项目,任务编号 P0081。请扮演内容策略师。围绕“写作场景081-个人项目”中的文章、脚本、邮件、文案任务，面向创始人，写一份面向管理层的简报。请用表格输出，并从“效率”角度做重点判断。要求：语言简洁，不说空话；标注假设和不确定性；最后给出3条可立即执行的下一步。
82,写作,内容策略师,新手用户,邮件草稿,风险,质量波动,任务编号 P0082。请扮演内容策略师。围绕“写作场景082-质量波动”中的文章、脚本、邮件、文案任务，面向新手用户，写一份面向执行者的操作手册。请用邮件草稿输出，并从“风险”角度做重点判断。要求：兼顾成本和效果；指出最容易忽略的细节；最后给出3条可立即执行的下一步。
83,写作,内容策略师,一线执行团队,路线图,增长,用户流失,任务编号 P0083。请扮演内容策略师。围绕“写作场景083-用户流失”中的文章、脚本、邮件、文案任务，面向一线执行团队，建立评估打分表。请用路线图输出，并从“增长”角度做重点判断。要求：指出最容易忽略的细节；避免专业黑话；最后给出3条可立即执行的下一步。
84,写作,内容策略师,开发团队,PRD片段,短期落地,内部培训,任务编号 P0084。请扮演内容策略师。围绕“写作场景084-内部培训”中的文章、脚本、邮件、文案任务，面向开发团队，提出自动化改造思路。请用PRD片段输出，并从“短期落地”角度做重点判断。要求：包含可执行下一步；用中文输出；最后给出3条可立即执行的下一步。
85,写作,内容策略师,客服团队,表格,成本,需要复盘,任务编号 P0085。请扮演内容策略师。围绕“写作场景085-需要复盘”中的文章、脚本、邮件、文案任务，面向客服团队，设计用户调研问题。请用表格输出，并从“成本”角度做重点判断。要求：输出可直接复制使用；兼顾成本和效果；最后给出3条可立即执行的下一步。
